Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2018-02-01 10:10:05.018890,2018-02-01 14:17:46.318905,14871.318,-1.621,1.629,2.499,4.2,2.854,2.901,11.263,9.976
2.0,2018-02-01 14:17:46.349799,2018-02-01 18:25:54.521946,29759.521,-1.621,1.629,2.499,4.2,2.902,2.895,11.39,9.964
3.0,2018-02-01 18:25:54.585031,2018-02-01 22:32:52.295985,44577.295,-1.621,1.629,2.499,4.2,2.891,2.884,11.343,9.935
4.0,2018-02-01 22:32:52.296103,2018-02-02 03:39:02.602002,62947.602,-6.496,1.629,2.499,4.2,5.42,5.336,21.351,16.15
5.0,2018-02-02 03:39:02.633721,2018-02-02 06:13:27.076729,72212.076,-6.496,1.629,2.499,4.2,2.795,2.806,10.998,8.44
6.0,2018-02-02 06:12:26.992113,2018-02-02 08:49:43.119836,81588.119,-6.496,1.629,2.499,4.2,2.813,2.811,11.018,8.458
7.0,2018-02-02 08:51:43.175011,2018-02-02 11:26:00.759265,90965.759,-6.496,1.629,2.499,4.2,2.814,2.812,11.015,8.465
8.0,2018-02-02 11:28:00.815638,2018-02-02 14:02:16.247468,100341.247,-6.496,1.629,2.499,4.2,2.813,2.813,11.012,8.471
9.0,2018-02-02 14:04:16.303825,2018-02-02 16:38:33.968253,109718.968,-6.496,1.629,2.499,4.2,2.814,2.814,11.012,8.477
10.0,2018-02-02 16:40:34.024073,2018-02-02 19:14:54.167891,119099.167,-6.496,1.629,2.499,4.2,2.814,2.814,11.012,8.477
11.0,2018-02-02 19:16:54.221540,2018-02-02 21:51:04.036277,128469.036,-6.496,1.629,2.499,4.2,2.813,2.812,11.009,8.475
12.0,2018-02-02 21:53:04.090424,2018-02-03 00:27:09.211908,137834.211,-6.496,1.629,2.499,4.2,2.812,2.811,11.002,8.474
13.0,2018-02-03 00:29:09.266261,2018-02-03 03:04:03.222941,147248.222,-6.496,1.629,2.499,4.2,2.822,2.825,11.033,8.518
14.0,2018-02-03 03:06:03.278488,2018-02-03 05:40:19.115640,156624.115,-6.496,1.629,2.499,4.2,2.813,2.812,11.005,8.478
15.0,2018-02-03 05:42:19.170721,2018-02-03 08:16:30.778723,165995.778,-6.496,1.629,2.499,4.2,2.811,2.81,10.999,8.472
16.0,2018-02-03 08:18:30.833293,2018-02-03 10:52:29.980778,175354.98,-6.496,1.629,2.499,4.2,2.808,2.806,10.989,8.464
17.0,2018-02-03 10:54:30.036113,2018-02-03 13:28:19.479864,184704.479,-6.496,1.629,2.499,4.2,2.805,2.805,10.975,8.458
18.0,2018-02-03 13:30:19.533957,2018-02-03 16:04:07.133289,194052.133,-6.496,1.629,2.499,4.2,2.803,2.805,10.969,8.461
19.0,2018-02-03 16:06:07.187021,2018-02-03 18:40:01.059274,203406.059,-6.496,1.629,2.499,4.2,2.804,2.805,10.971,8.46
20.0,2018-02-03 18:42:01.115198,2018-02-03 21:15:42.906113,212747.906,-6.496,1.629,2.499,4.2,2.804,2.798,10.971,8.44
