Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2017-07-10 14:02:35.003307,2017-07-10 18:32:04.086579,16179.086,-1.624,1.624,2.499,4.2,3.148,3.158,12.19,11.101
2.0,2017-07-10 18:32:04.149299,2017-07-10 23:00:51.875159,32306.875,-1.624,1.625,2.499,4.2,3.171,3.146,12.241,11.069
3.0,2017-07-10 23:00:52.030580,2017-07-11 03:29:04.438647,48399.438,-1.624,1.625,2.499,4.2,3.158,3.142,12.19,11.064
4.0,2017-07-11 03:29:04.438756,2017-07-11 12:14:36.485206,79931.485,-1.624,1.625,2.499,4.2,6.3,6.277,24.318,22.111
5.0,2017-07-11 12:14:36.559481,2017-07-11 16:32:02.086319,95377.086,-1.624,1.625,2.499,4.2,3.145,3.134,12.131,11.044
6.0,2017-07-11 16:32:02.146621,2017-07-11 20:49:11.491213,110806.491,-1.624,1.625,2.499,4.2,3.141,3.131,12.116,11.035
7.0,2017-07-11 20:49:11.521269,2017-07-12 01:06:04.532238,126219.532,-1.624,1.625,2.499,4.2,3.137,3.128,12.1,11.025
8.0,2017-07-12 01:06:04.563463,2017-07-12 05:22:43.987108,141618.987,-1.624,1.625,2.499,4.2,3.134,3.124,12.09,11.015
9.0,2017-07-12 05:22:44.021079,2017-07-12 09:39:10.700890,157005.7,-1.624,1.625,2.499,4.2,3.13,3.122,12.074,11.006
10.0,2017-07-12 09:39:10.758689,2017-07-12 13:55:20.175154,172375.175,-1.624,1.625,2.499,4.2,3.127,3.118,12.064,10.993
11.0,2017-07-12 13:55:20.331102,2017-07-12 18:11:15.155870,187730.155,-1.624,1.625,2.499,4.2,3.123,3.115,12.05,10.982
12.0,2017-07-12 18:11:15.285251,2017-07-12 22:26:55.197175,203070.197,-1.624,1.625,2.499,4.2,3.12,3.111,12.04,10.97
13.0,2017-07-12 22:26:55.295227,2017-07-13 02:42:19.985687,218394.985,-1.624,1.625,2.499,4.2,3.116,3.108,12.025,10.96
14.0,2017-07-13 02:42:20.012241,2017-07-13 06:57:31.714984,233706.714,-1.624,1.625,2.499,4.2,3.113,3.106,12.015,10.951
15.0,2017-07-13 06:57:31.784145,2017-07-13 11:12:33.030348,249008.03,-1.624,1.625,2.499,4.2,3.111,3.104,12.008,10.944
16.0,2017-07-13 11:12:33.090508,2017-07-13 15:27:21.785021,264296.785,-1.624,1.625,2.499,4.2,3.108,3.101,11.997,10.934
17.0,2017-07-13 15:27:21.852113,2017-07-13 19:41:59.955099,279574.955,-1.624,1.625,2.499,4.2,3.106,3.098,11.987,10.926
18.0,2017-07-13 19:42:00.015613,2017-07-13 23:56:23.373171,294838.373,-1.624,1.625,2.499,4.2,3.102,3.095,11.976,10.913
19.0,2017-07-13 23:56:23.465650,2017-07-14 04:10:31.063865,310086.063,-1.624,1.625,2.499,4.2,3.099,3.091,11.963,10.9
20.0,2017-07-14 04:10:31.100572,2017-07-14 08:24:20.953509,325315.953,-1.624,1.625,2.499,4.2,3.095,3.087,11.948,10.886
21.0,2017-07-14 08:24:21.030189,2017-07-14 12:37:58.668375,340533.668,-1.624,1.625,2.499,4.2,3.091,3.085,11.935,10.881
22.0,2017-07-14 12:37:58.827895,2017-07-14 16:51:27.335102,355742.335,-1.624,1.625,2.499,4.2,3.089,3.083,11.927,10.872
23.0,2017-07-14 16:51:27.406610,2017-07-14 21:04:46.236834,370941.236,-1.624,1.625,2.499,4.2,3.087,3.081,11.92,10.864
24.0,2017-07-14 21:04:46.329392,2017-07-15 01:17:56.875769,386131.875,-1.624,1.625,2.499,4.2,3.085,3.079,11.911,10.857
25.0,2017-07-15 01:17:57.007449,2017-07-15 05:30:52.041683,401307.041,-1.624,1.625,2.499,4.2,3.082,3.074,11.901,10.842
26.0,2017-07-15 05:30:52.124487,2017-07-15 09:43:22.271844,416457.271,-1.624,1.625,2.499,4.2,3.077,3.069,11.882,10.821
27.0,2017-07-15 09:43:22.328339,2017-07-15 13:55:36.335102,431591.335,-1.624,1.625,2.499,4.2,3.072,3.067,11.866,10.814
28.0,2017-07-15 13:55:36.385565,2017-07-15 18:07:43.247043,446718.247,-1.624,1.625,2.499,4.2,3.071,3.065,11.86,10.806
29.0,2017-07-15 18:07:43.295646,2017-07-15 22:19:37.237800,461832.237,-1.624,1.625,2.499,4.2,3.068,3.062,11.852,10.795
30.0,2017-07-15 22:19:37.294880,2017-07-16 02:31:14.406086,476929.406,-1.624,1.625,2.499,4.2,3.065,3.058,11.838,10.78
31.0,2017-07-16 02:31:14.475862,2017-07-16 06:42:34.860923,492009.86,-1.624,1.625,2.499,4.2,3.061,3.054,11.827,10.766
32.0,2017-07-16 06:42:34.892184,2017-07-16 10:53:43.085677,507078.085,-1.624,1.625,2.499,4.2,3.057,3.052,11.812,10.757
33.0,2017-07-16 10:53:43.210953,2017-07-16 15:04:38.485879,522133.485,-1.624,1.625,2.499,4.2,3.055,3.049,11.803,10.747
34.0,2017-07-16 15:04:38.579215,2017-07-16 19:15:19.505060,537174.505,-1.624,1.625,2.499,4.2,3.052,3.046,11.793,10.734
35.0,2017-07-16 19:15:19.566780,2017-07-16 23:25:46.856654,552201.856,-1.624,1.625,2.499,4.2,3.049,3.043,11.782,10.723
36.0,2017-07-16 23:25:46.919217,2017-07-17 03:36:01.633138,567216.633,-1.624,1.625,2.499,4.2,3.046,3.04,11.772,10.712
37.0,2017-07-17 03:36:01.723022,2017-07-17 07:46:01.199389,582216.199,-1.624,1.625,2.499,4.2,3.043,3.037,11.761,10.7
38.0,2017-07-17 07:46:01.259848,2017-07-17 11:55:51.949242,597206.949,-1.624,1.625,2.499,4.2,3.04,3.036,11.752,10.697
39.0,2017-07-17 11:55:52.074596,2017-07-17 16:05:39.377557,612194.377,-1.624,1.625,2.499,4.2,3.04,3.035,11.75,10.692
40.0,2017-07-17 16:05:39.408004,2017-07-17 20:15:17.251742,627172.251,-1.624,1.625,2.499,4.2,3.038,3.033,11.742,10.684
41.0,2017-07-17 20:15:17.281196,2017-07-18 00:24:44.356123,642139.356,-1.624,1.625,2.499,4.2,3.036,3.03,11.736,10.674
42.0,2017-07-18 00:24:44.452881,2017-07-18 04:34:00.345321,657095.345,-1.624,1.625,2.499,4.2,3.033,3.028,11.727,10.664
43.0,2017-07-18 04:34:00.382074,2017-07-18 08:43:05.041785,672040.041,-1.624,1.625,2.499,4.2,3.03,3.026,11.717,10.655
44.0,2017-07-18 08:43:05.070129,2017-07-18 12:52:00.842135,686975.842,-1.624,1.625,2.499,4.2,3.029,3.024,11.711,10.647
45.0,2017-07-18 12:52:00.871588,2017-07-18 17:00:44.470812,701899.47,-1.624,1.625,2.499,4.2,3.026,3.021,11.703,10.636
46.0,2017-07-18 17:00:44.529238,2017-07-18 21:09:15.112011,731702.326,-1.624,1.625,2.499,4.2,3.02,3.014,11.68,10.608
46.0,2017-07-18 17:00:44.529238,2017-07-18 21:09:15.112011,731702.326,-1.624,1.625,2.499,4.2,3.02,3.014,11.68,10.608
47.0,2017-07-18 21:09:15.146421,2017-07-19 01:17:27.326210,746579.604,-1.624,1.625,2.499,4.2,3.016,3.011,11.668,10.595
48.0,2017-07-19 01:17:27.384206,2017-07-19 05:25:24.604012,761439.643,-1.624,1.625,2.499,4.2,3.013,3.007,11.656,10.578
49.0,2017-07-19 05:25:24.650195,2017-07-19 09:33:04.643617,776281.89,-1.624,1.625,2.499,4.2,3.009,3.004,11.642,10.565
50.0,2017-07-19 09:33:04.725185,2017-07-19 13:40:26.890956,791109.398,-1.624,1.625,2.499,4.2,3.006,3.001,11.632,10.553
51.0,2017-07-19 13:40:26.916084,2017-07-19 17:47:34.398542,805926.174,-1.624,1.625,2.499,4.2,3.003,2.998,11.623,10.543
52.0,2017-07-19 17:47:34.440429,2017-07-19 21:54:31.174921,820728.141,-1.624,1.625,2.499,4.2,3.0,2.995,11.614,10.529
53.0,2017-07-19 21:54:31.243283,2017-07-20 02:01:13.141876,835513.008,-1.624,1.625,2.499,4.2,2.997,2.991,11.601,10.514
54.0,2017-07-20 02:01:13.306513,2017-07-20 06:07:38.008389,850281.57,-1.624,1.625,2.499,4.2,2.993,2.988,11.589,10.5
55.0,2017-07-20 06:07:38.085526,2017-07-20 10:13:46.570430,865035.523,-1.624,1.625,2.499,4.2,2.99,2.985,11.578,10.489
56.0,2017-07-20 10:13:46.627601,2017-07-20 14:19:40.523934,879779.801,-1.624,1.625,2.499,4.2,2.987,2.983,11.57,10.479
57.0,2017-07-20 14:19:40.593362,2017-07-20 18:25:24.801707,894510.48,-1.624,1.625,2.499,4.2,2.985,2.981,11.56,10.468
58.0,2017-07-20 18:25:24.943474,2017-07-20 22:30:55.480965,909230.64,-1.624,1.625,2.499,4.2,2.983,2.978,11.554,10.456
