Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2017-07-24 15:54:48.015405,2017-07-24 20:23:48.452787,16150.452,-1.625,1.624,2.499,4.2,3.129,3.16,12.134,11.107
2.0,2017-07-24 20:23:48.483786,2017-07-25 00:52:02.419111,32244.419,-1.625,1.624,2.499,4.2,3.16,3.143,12.215,11.055
3.0,2017-07-25 00:52:02.450422,2017-07-25 05:19:32.270607,48294.27,-1.625,1.624,2.499,4.201,3.148,3.139,12.166,11.047
4.0,2017-07-25 05:19:32.270730,2017-07-25 11:39:36.354546,71098.354,-1.627,1.624,2.699,4.2,4.762,4.715,18.001,16.244
5.0,2017-07-25 11:39:36.414516,2017-07-25 14:18:57.563513,80659.563,-1.625,1.624,2.699,3.98,2.019,2.024,7.527,6.87
6.0,2017-07-25 14:18:57.690100,2017-07-25 16:57:45.996832,90187.996,-1.628,1.626,2.699,3.981,2.013,2.015,7.502,6.827
7.0,2017-07-25 16:57:46.025515,2017-07-25 19:35:28.282331,99650.282,-1.625,1.624,2.699,3.98,1.997,2.001,7.452,6.777
8.0,2017-07-25 19:35:28.311619,2017-07-25 22:13:08.346506,109110.346,-1.628,1.624,2.699,3.98,1.997,2.0,7.45,6.774
9.0,2017-07-25 22:13:08.412706,2017-07-26 00:50:45.502362,118567.502,-1.627,1.624,2.699,3.98,1.996,2.0,7.446,6.773
10.0,2017-07-26 00:50:45.530517,2017-07-26 03:28:29.387898,128031.387,-1.625,1.624,2.699,3.98,1.998,2.001,7.45,6.779
11.0,2017-07-26 03:28:29.421491,2017-07-26 06:06:19.277302,137501.277,-1.625,1.624,2.699,3.98,1.999,2.002,7.455,6.784
12.0,2017-07-26 06:06:19.303970,2017-07-26 08:44:13.137880,146975.137,-1.629,1.628,2.699,3.98,2.001,2.003,7.46,6.786
13.0,2017-07-26 08:44:13.229963,2017-07-26 11:22:06.735038,156448.735,-1.625,1.624,2.699,3.98,2.0,2.003,7.458,6.788
14.0,2017-07-26 11:22:06.756136,2017-07-26 14:00:03.654382,165925.654,-1.625,1.628,2.699,3.98,2.001,2.004,7.459,6.792
15.0,2017-07-26 14:00:03.709807,2017-07-26 16:38:03.090127,175405.09,-1.627,1.625,2.699,3.98,2.002,2.004,7.462,6.793
16.0,2017-07-26 16:38:03.246317,2017-07-26 19:16:01.746025,184883.746,-1.625,1.64,2.699,3.98,2.002,2.004,7.46,6.793
17.0,2017-07-26 19:16:01.807400,2017-07-26 21:54:01.269837,194363.269,-1.625,1.631,2.699,3.98,2.002,2.004,7.461,6.794
18.0,2017-07-26 21:54:01.339995,2017-07-27 00:32:02.535630,203844.535,-1.626,1.626,2.699,3.98,2.002,2.005,7.462,6.796
19.0,2017-07-27 00:32:02.590782,2017-07-27 03:10:08.352993,213330.352,-1.625,1.627,2.699,3.98,2.003,2.006,7.464,6.801
20.0,2017-07-27 03:10:08.506876,2017-07-27 05:48:18.042135,222820.042,-1.625,1.629,2.699,3.98,2.004,2.006,7.468,6.803
21.0,2017-07-27 05:48:18.107197,2017-07-27 08:26:26.006117,232308.006,-1.626,1.625,2.699,3.98,2.004,2.006,7.467,6.8
22.0,2017-07-27 08:26:26.064649,2017-07-27 11:04:30.221531,241792.221,-1.625,1.626,2.699,3.98,2.003,2.005,7.464,6.798
23.0,2017-07-27 11:04:30.246583,2017-07-27 13:42:31.171653,251273.171,-1.625,1.624,2.699,3.98,2.002,2.004,7.461,6.796
24.0,2017-07-27 13:42:31.201860,2017-07-27 16:20:33.548679,260755.548,-1.625,1.624,2.699,3.98,2.002,2.005,7.46,6.799
25.0,2017-07-27 16:20:33.610401,2017-07-27 18:58:38.197059,270240.197,-1.625,1.626,2.699,3.98,2.003,2.005,7.463,6.8
