Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2017-07-24 15:54:58.018927,2017-07-24 20:20:17.008385,15929.008,-1.624,1.625,2.499,4.2,3.073,3.097,11.911,10.887
2.0,2017-07-24 20:20:17.071085,2017-07-25 00:45:12.642695,31824.642,-1.625,1.625,2.499,4.201,3.111,3.091,12.024,10.88
3.0,2017-07-25 00:45:12.735847,2017-07-25 05:08:59.635005,47651.635,-1.624,1.625,2.499,4.201,3.097,3.079,11.974,10.847
4.0,2017-07-25 05:08:59.635113,2017-07-25 11:22:30.959926,70062.959,-1.624,1.625,2.699,4.2,4.676,4.624,17.677,15.947
5.0,2017-07-25 11:22:30.991409,2017-07-25 13:58:42.836269,79434.836,-1.624,1.625,2.699,3.98,1.978,1.979,7.37,6.727
6.0,2017-07-25 13:58:42.895734,2017-07-25 16:34:48.098679,88800.098,-1.624,1.625,2.699,3.98,1.977,1.977,7.366,6.719
7.0,2017-07-25 16:34:48.126798,2017-07-25 19:10:40.485132,98152.485,-1.624,1.625,2.699,3.98,1.974,1.975,7.355,6.709
8.0,2017-07-25 19:10:40.548037,2017-07-25 21:46:25.340635,107497.34,-1.624,1.625,2.699,3.98,1.973,1.973,7.348,6.703
9.0,2017-07-25 21:46:25.374716,2017-07-26 00:22:10.926732,116842.926,-1.624,1.625,2.699,3.98,1.973,1.973,7.348,6.704
10.0,2017-07-26 00:22:10.955167,2017-07-26 02:57:54.351279,126186.351,-1.624,1.625,2.699,3.98,1.972,1.972,7.346,6.702
11.0,2017-07-26 02:57:54.399775,2017-07-26 05:33:35.552833,135527.552,-1.624,1.625,2.699,3.98,1.972,1.972,7.345,6.699
12.0,2017-07-26 05:33:35.579983,2017-07-26 08:09:12.118720,144864.118,-1.624,1.625,2.699,3.98,1.971,1.97,7.342,6.695
13.0,2017-07-26 08:09:12.148975,2017-07-26 10:44:37.804575,154189.804,-1.624,1.625,2.699,3.98,1.969,1.968,7.333,6.686
14.0,2017-07-26 10:44:37.871088,2017-07-26 13:19:58.628302,163510.628,-1.625,1.625,2.699,3.98,1.967,1.967,7.328,6.683
