Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2018-02-27 13:09:25.493900,2018-02-27 17:37:55.667552,16120.18,-1.625,1.625,2.499,4.2,3.156,3.187,12.292,11.064
2.0,2018-02-27 17:37:55.686024,2018-02-27 22:07:46.868968,32311.381,-1.625,1.625,2.499,4.2,3.204,3.191,12.428,11.092
3.0,2018-02-27 22:07:46.887404,2018-02-28 02:37:15.781408,48480.294,-1.625,1.625,2.499,4.2,3.199,3.184,12.405,11.073
4.0,2018-02-28 02:37:15.804548,2018-02-28 09:27:30.037552,73094.55,-3.25,1.625,2.499,4.2,6.36,6.322,24.676,20.96
5.0,2018-02-28 09:27:30.054792,2018-02-28 12:52:46.701960,85411.214,-3.25,1.625,2.499,4.2,3.138,3.139,12.225,10.395
6.0,2018-02-28 12:52:46.723692,2018-02-28 16:18:03.757604,97728.27,-3.25,1.625,2.499,4.2,3.155,3.146,12.245,10.423
7.0,2018-02-28 16:18:03.783816,2018-02-28 19:43:35.000852,110059.513,-3.25,1.625,2.499,4.2,3.153,3.145,12.235,10.426
8.0,2018-02-28 19:43:35.022192,2018-02-28 23:08:37.834748,122362.347,-3.25,1.624,2.499,4.2,3.151,3.142,12.226,10.415
9.0,2018-02-28 23:08:37.856004,2018-03-01 02:33:43.515020,134668.028,-3.25,1.624,2.499,4.2,3.146,3.14,12.206,10.41
10.0,2018-03-01 02:33:43.542632,2018-03-01 05:58:29.313120,146953.826,-3.25,1.624,2.499,4.2,3.144,3.138,12.198,10.405
11.0,2018-03-01 05:58:29.339784,2018-03-01 09:22:55.226360,159219.739,-3.25,1.624,2.499,4.2,3.142,3.136,12.189,10.399
12.0,2018-03-01 09:22:55.237768,2018-03-01 12:47:43.846028,171508.359,-3.25,1.624,2.499,4.2,3.139,3.136,12.179,10.401
13.0,2018-03-01 12:47:43.860260,2018-03-01 16:12:26.809060,183791.322,-3.25,1.624,2.499,4.2,3.139,3.133,12.177,10.396
14.0,2018-03-01 16:12:26.814088,2018-03-01 19:37:00.246088,196064.759,-3.25,1.624,2.499,4.2,3.137,3.132,12.169,10.392
15.0,2018-03-01 19:37:00.281380,2018-03-01 23:01:23.322540,208327.835,-3.25,1.624,2.499,4.2,3.135,3.129,12.162,10.383
16.0,2018-03-01 23:01:23.346432,2018-03-02 02:25:32.191648,220576.704,-3.25,1.625,2.499,4.2,3.131,3.126,12.149,10.373
17.0,2018-03-02 02:25:32.200556,2018-03-02 05:49:52.445392,232836.958,-3.25,1.625,2.499,4.2,3.129,3.123,12.139,10.364
18.0,2018-03-02 05:49:52.462544,2018-03-02 09:13:32.941496,245057.454,-3.25,1.625,2.499,4.2,3.125,3.121,12.127,10.357
19.0,2018-03-02 09:13:32.965164,2018-03-02 12:37:24.775780,257289.288,-3.25,1.625,2.499,4.2,3.123,3.118,12.118,10.349
20.0,2018-03-02 12:37:24.782628,2018-03-02 16:00:56.734644,269501.247,-3.25,1.624,2.499,4.2,3.121,3.117,12.111,10.345
21.0,2018-03-02 16:00:56.777252,2018-03-02 19:24:20.155324,281704.668,-3.25,1.624,2.499,4.2,3.119,3.116,12.104,10.342
22.0,2018-03-02 19:24:20.219628,2018-03-02 22:47:35.087832,293899.6,-3.25,1.624,2.499,4.2,3.119,3.115,12.101,10.339
23.0,2018-03-02 22:47:35.125640,2018-03-03 02:11:12.744500,306117.257,-3.25,1.624,2.499,4.2,3.117,3.114,12.095,10.336
24.0,2018-03-03 02:11:12.739976,2018-03-03 05:34:32.327072,318316.84,-3.25,1.625,2.499,4.2,3.116,3.111,12.09,10.327
25.0,2018-03-03 05:34:32.331912,2018-03-03 08:58:04.298892,330528.811,-3.25,1.624,2.499,4.2,3.114,3.111,12.083,10.327
26.0,2018-03-03 08:58:04.306952,2018-03-03 12:20:26.666564,342671.179,-3.25,1.625,2.499,4.2,3.038,3.112,11.785,10.33
27.0,2018-03-03 12:20:26.721928,2018-03-03 15:43:41.585224,354866.098,-3.25,1.625,2.499,4.2,3.113,3.107,12.079,10.316
28.0,2018-03-03 15:43:41.628040,2018-03-03 19:06:53.672388,367058.185,-3.25,1.624,2.499,4.2,3.109,3.107,12.064,10.316
29.0,2018-03-03 19:06:53.716004,2018-03-03 22:30:14.284400,379258.797,-3.25,1.624,2.499,4.2,3.109,3.106,12.064,10.311
30.0,2018-03-03 22:30:14.291080,2018-03-04 01:52:57.935560,391422.448,-3.25,1.625,2.499,4.2,3.107,3.104,12.058,10.306
31.0,2018-03-04 01:52:57.969388,2018-03-04 05:16:07.179180,403611.692,-3.25,1.624,2.499,4.2,3.106,3.102,12.052,10.3
32.0,2018-03-04 05:16:07.203336,2018-03-04 08:39:10.741356,415795.254,-3.25,1.624,2.499,4.2,3.104,3.101,12.046,10.296
33.0,2018-03-04 08:39:10.775020,2018-03-04 12:02:07.648508,427972.161,-3.25,1.624,2.499,4.2,3.103,3.098,12.041,10.287
34.0,2018-03-04 12:02:07.656432,2018-03-04 15:24:48.459908,440132.972,-3.25,1.624,2.499,4.2,3.101,3.099,12.034,10.289
35.0,2018-03-04 15:24:48.483024,2018-03-04 18:47:23.585972,452288.098,-3.25,1.624,2.499,4.2,3.1,3.097,12.028,10.281
36.0,2018-03-04 18:47:23.608684,2018-03-04 22:10:01.585276,464446.098,-3.25,1.624,2.499,4.2,3.098,3.095,12.023,10.276
37.0,2018-03-04 22:10:01.621128,2018-03-05 01:32:31.070432,476595.583,-3.25,1.624,2.499,4.2,3.097,3.094,12.017,10.273
38.0,2018-03-05 01:32:31.078024,2018-03-05 04:54:54.870176,488739.383,-3.25,1.624,2.499,4.2,3.095,3.092,12.012,10.266
39.0,2018-03-05 04:54:54.898824,2018-03-05 08:17:24.318712,500888.831,-3.25,1.625,2.499,4.2,3.093,3.09,12.004,10.26
40.0,2018-03-05 08:17:24.323052,2018-03-05 11:39:39.576056,513024.089,-3.25,1.625,2.499,4.2,3.092,3.09,12.0,10.257
41.0,2018-03-05 11:39:39.623972,2018-03-05 15:01:46.307868,525150.82,-3.25,1.625,2.499,4.2,3.091,3.088,11.996,10.25
42.0,2018-03-05 15:01:46.372744,2018-03-05 18:23:53.067036,537277.58,-3.25,1.624,2.499,4.2,3.089,3.086,11.989,10.246
43.0,2018-03-05 18:23:53.118316,2018-03-05 21:45:39.923836,549384.436,-3.249,1.624,2.499,4.2,3.087,3.084,11.982,10.239
44.0,2018-03-05 21:45:39.914276,2018-03-06 01:07:25.770624,561490.283,-3.25,1.624,2.499,4.2,3.085,3.082,11.974,10.231
45.0,2018-03-06 01:07:25.786832,2018-03-06 04:29:15.525132,573600.038,-3.25,1.625,2.499,4.2,3.083,3.082,11.967,10.228
46.0,2018-03-06 04:29:15.531012,2018-03-06 07:51:05.288808,585709.801,-3.25,1.625,2.499,4.2,3.083,3.08,11.966,10.222
47.0,2018-03-06 07:51:05.273992,2018-03-06 11:12:32.224504,597796.737,-3.25,1.625,2.499,4.2,3.081,3.079,11.959,10.217
48.0,2018-03-06 11:12:32.275180,2018-03-06 14:33:53.598728,609878.111,-3.25,1.625,2.499,4.2,3.08,3.078,11.954,10.213
49.0,2018-03-06 14:33:53.574536,2018-03-06 17:55:26.228312,621970.741,-3.25,1.624,2.499,4.2,3.079,3.077,11.953,10.212
50.0,2018-03-06 17:55:26.211620,2018-03-06 21:16:56.097188,634060.61,-3.25,1.624,2.499,4.2,3.078,3.076,11.949,10.206
