Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2018-02-27 13:10:15.820800,2018-02-27 17:39:03.769424,16137.954,-1.625,1.624,2.499,4.2,3.158,3.189,12.278,11.095
2.0,2018-02-27 17:39:03.787592,2018-02-27 22:08:40.636056,32314.821,-1.625,1.624,2.499,4.2,3.2,3.188,12.392,11.094
3.0,2018-02-27 22:08:40.655944,2018-02-28 02:38:05.974140,48480.159,-1.625,1.624,2.499,4.2,3.195,3.185,12.372,11.085
4.0,2018-02-28 02:38:05.994980,2018-02-28 09:27:37.833488,73052.018,-3.25,1.625,2.499,4.2,6.349,6.306,24.611,20.93
5.0,2018-02-28 09:27:37.846728,2018-02-28 12:46:21.970708,84976.155,-3.25,1.624,2.499,4.2,3.159,3.15,12.235,10.463
6.0,2018-02-28 12:46:21.990856,2018-02-28 16:04:58.262308,96892.447,-3.25,1.624,2.499,4.2,3.155,3.148,12.221,10.461
7.0,2018-02-28 16:04:58.278956,2018-02-28 19:23:24.629484,108798.814,-3.25,1.625,2.499,4.2,3.151,3.144,12.207,10.449
8.0,2018-02-28 19:23:24.646344,2018-02-28 22:41:39.201980,120693.386,-3.25,1.624,2.499,4.2,3.147,3.142,12.192,10.442
9.0,2018-02-28 22:41:39.217352,2018-03-01 01:59:45.941008,132580.126,-3.25,1.624,2.499,4.2,3.144,3.139,12.183,10.433
10.0,2018-03-01 01:59:45.957008,2018-03-01 05:17:39.934616,144454.119,-3.25,1.624,2.499,4.2,3.14,3.136,12.167,10.425
11.0,2018-03-01 05:17:39.957904,2018-03-01 08:35:25.984168,156320.169,-3.25,1.624,2.499,4.2,3.137,3.133,12.158,10.415
12.0,2018-03-01 08:35:26.004368,2018-03-01 11:53:02.101036,168176.286,-3.25,1.624,2.499,4.2,3.134,3.13,12.146,10.406
