Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2018-02-27 13:10:04.625600,2018-02-27 17:40:23.421608,16218.817,-1.625,1.625,-0.005,4.2,3.175,3.205,12.34,11.171
2.0,2018-02-27 17:40:23.437948,2018-02-27 22:11:45.865240,32501.261,-1.625,1.625,2.499,4.2,3.221,3.209,12.464,11.191
3.0,2018-02-27 22:11:45.879476,2018-02-28 02:42:47.022196,48762.418,-1.625,1.625,2.499,4.2,3.217,3.203,12.449,11.169
4.0,2018-02-28 02:42:47.040340,2018-02-28 09:33:36.061504,73411.457,-3.25,1.625,2.499,4.2,6.385,6.342,24.722,21.128
5.0,2018-02-28 09:33:36.076212,2018-02-28 12:15:33.346512,83128.742,-3.25,1.624,2.499,4.2,2.744,2.739,10.478,8.982
6.0,2018-02-28 12:15:33.352984,2018-02-28 15:35:09.635464,95105.031,-3.25,1.625,2.499,4.2,3.173,3.165,12.278,10.546
7.0,2018-02-28 15:35:09.649584,2018-02-28 18:16:50.578752,104805.974,-3.249,1.625,2.499,4.2,2.74,2.734,10.461,8.967
8.0,2018-02-28 18:16:50.589008,2018-02-28 21:36:10.666416,116766.062,-3.249,1.625,2.499,4.2,3.167,3.161,12.255,10.534
9.0,2018-02-28 21:36:10.682032,2018-03-01 00:55:31.605588,128727.001,-3.249,1.625,2.499,4.2,3.166,3.159,12.254,10.529
10.0,2018-03-01 00:55:31.613932,2018-03-01 04:14:45.090812,140680.486,-3.249,1.625,2.499,4.2,3.163,3.157,12.241,10.525
11.0,2018-03-01 04:14:45.102704,2018-03-01 07:33:54.802332,152630.198,-3.249,1.625,2.499,4.2,3.161,3.155,12.235,10.521
12.0,2018-03-01 07:33:54.805072,2018-03-01 10:53:00.319368,164575.715,-3.249,1.625,2.499,4.2,3.159,3.154,12.228,10.518
13.0,2018-03-01 10:53:00.346904,2018-03-01 14:12:00.755272,176516.151,-3.249,1.625,2.499,4.2,3.157,3.152,12.22,10.514
14.0,2018-03-01 14:12:00.760244,2018-03-01 17:30:56.278832,188451.674,-3.25,1.625,2.499,4.2,3.156,3.15,12.214,10.51
15.0,2018-03-01 17:30:56.291352,2018-03-01 20:49:46.873856,200382.269,-3.249,1.625,2.499,4.2,3.154,3.149,12.205,10.506
16.0,2018-03-01 20:49:46.890676,2018-03-02 00:08:32.519848,212307.915,-3.249,1.625,2.499,4.2,3.152,3.147,12.199,10.502
17.0,2018-03-02 00:08:32.542232,2018-03-02 03:27:12.600740,224227.996,-3.25,1.625,2.499,4.2,3.15,3.145,12.19,10.496
18.0,2018-03-02 03:27:12.623028,2018-03-02 06:45:45.477600,236140.873,-3.25,1.625,2.499,4.2,3.147,3.143,12.181,10.491
19.0,2018-03-02 06:45:45.478680,2018-03-02 10:04:12.917180,248048.313,-3.25,1.625,2.499,4.2,3.146,3.141,12.174,10.485
20.0,2018-03-02 10:04:12.927512,2018-03-02 13:22:34.116868,259949.512,-3.249,1.625,2.499,4.2,3.143,3.139,12.165,10.477
21.0,2018-03-02 13:22:34.133840,2018-03-02 16:40:50.000700,271845.396,-3.25,1.625,2.499,4.2,3.142,3.138,12.16,10.474
22.0,2018-03-02 16:40:49.983000,2018-03-02 19:59:00.395572,283735.791,-3.249,1.624,2.499,4.2,3.14,3.136,12.153,10.468
23.0,2018-03-02 19:59:00.425240,2018-03-02 23:17:04.492656,295619.888,-3.249,1.625,2.499,4.2,3.138,3.134,12.146,10.462
24.0,2018-03-02 23:17:04.493904,2018-03-03 02:35:01.884644,307497.28,-3.249,1.624,2.499,4.2,3.136,3.132,12.138,10.455
25.0,2018-03-03 02:35:01.878296,2018-03-03 05:52:52.016816,319367.412,-3.249,1.625,2.499,4.2,3.134,3.129,12.13,10.448
26.0,2018-03-03 05:52:52.020560,2018-03-03 09:10:37.075216,331232.471,-3.249,1.625,2.499,4.2,3.132,3.128,12.122,10.442
27.0,2018-03-03 09:10:37.086284,2018-03-03 12:28:14.184200,343089.58,-3.25,1.625,2.499,4.2,3.13,3.126,12.114,10.435
28.0,2018-03-03 12:28:14.184884,2018-03-03 15:45:44.742904,354940.138,-3.249,1.625,2.499,4.2,3.127,3.123,12.104,10.427
29.0,2018-03-03 15:45:44.764852,2018-03-03 19:03:09.713616,366785.109,-3.25,1.625,2.499,4.2,3.125,3.122,12.098,10.421
30.0,2018-03-03 19:03:09.741492,2018-03-03 22:20:29.363080,378624.759,-3.25,1.625,2.499,4.2,3.124,3.12,12.092,10.415
31.0,2018-03-03 22:20:29.379248,2018-03-04 01:37:43.790708,390459.186,-3.25,1.625,2.499,4.2,3.122,3.119,12.086,10.411
32.0,2018-03-04 01:37:43.835060,2018-03-04 04:54:53.273736,402288.669,-3.249,1.624,2.499,4.2,3.121,3.117,12.081,10.405
33.0,2018-03-04 04:54:53.279768,2018-03-04 08:11:55.969316,414111.365,-3.25,1.625,2.499,4.2,3.119,3.115,12.072,10.396
34.0,2018-03-04 08:11:55.976368,2018-03-04 11:28:55.217796,425930.613,-3.249,1.624,2.499,4.2,3.117,3.114,12.068,10.394
35.0,2018-03-04 11:28:55.230028,2018-03-04 14:45:49.696960,437745.092,-3.25,1.624,2.499,4.2,3.116,3.113,12.063,10.389
36.0,2018-03-04 14:45:49.699760,2018-03-04 18:02:39.286792,449554.682,-3.25,1.625,2.499,4.2,3.114,3.111,12.055,10.383
37.0,2018-03-04 18:02:39.251892,2018-03-04 21:19:24.424344,461359.82,-3.25,1.625,2.499,4.2,3.113,3.11,12.053,10.378
38.0,2018-03-04 21:19:24.415412,2018-03-05 00:03:37.715736,471213.111,-3.249,1.625,2.499,4.2,2.777,2.774,10.642,9.141
39.0,2018-03-05 00:03:37.720244,2018-03-05 03:20:05.031608,483000.427,-3.249,1.625,2.499,4.2,3.108,3.106,12.032,10.364
40.0,2018-03-05 03:20:05.057972,2018-03-05 06:36:34.866140,494790.262,-3.249,1.625,2.499,4.2,3.109,3.105,12.036,10.36
41.0,2018-03-05 06:36:34.888468,2018-03-05 09:52:57.977736,506573.373,-3.249,1.625,2.499,4.2,3.107,3.103,12.029,10.352
