Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2018-02-01 10:06:46.013097,2018-02-01 14:01:02.149222,14066.149,-1.5,1.5,1.999,4.2,2.443,2.579,9.621,8.829
2.0,2018-02-01 14:01:02.180672,2018-02-01 17:56:22.228152,28186.228,-1.5,1.5,1.999,4.2,2.537,2.538,9.935,8.638
3.0,2018-02-01 17:56:22.258932,2018-02-01 21:51:39.378975,42303.378,-1.5,1.5,1.999,4.2,2.538,2.536,9.945,8.63
4.0,2018-02-01 21:51:39.379089,2018-02-02 03:52:53.789687,63977.789,-3.0,1.5,1.998,4.2,5.109,5.089,20.004,16.711
5.0,2018-02-02 03:54:53.826565,2018-02-02 06:49:29.868932,74573.868,-3.0,1.499,1.999,4.2,2.566,2.561,10.009,8.432
6.0,2018-02-02 06:51:29.892642,2018-02-02 09:46:09.200903,85173.2,-3.0,1.5,1.999,4.2,2.565,2.561,10.003,8.435
7.0,2018-02-02 09:48:09.257925,2018-02-02 12:42:43.448991,95767.448,-3.0,1.5,1.999,4.2,2.564,2.559,9.998,8.436
8.0,2018-02-02 12:44:43.505335,2018-02-02 15:39:02.657207,106346.657,-3.0,1.5,1.999,4.2,2.56,2.556,9.985,8.439
9.0,2018-02-02 15:41:02.708959,2018-02-02 18:35:05.407272,116909.407,-3.0,1.499,1.999,4.2,2.555,2.551,9.966,8.425
10.0,2018-02-02 18:37:05.463021,2018-02-02 21:31:09.525397,127473.525,-3.0,1.5,1.999,4.2,2.555,2.552,9.964,8.432
11.0,2018-02-02 21:33:09.579287,2018-02-03 00:26:43.085610,138007.085,-3.0,1.5,1.999,4.2,2.546,2.543,9.934,8.408
12.0,2018-02-03 00:28:43.135158,2018-02-03 03:22:24.098257,148548.098,-3.0,1.499,1.998,4.2,2.549,2.546,9.94,8.435
13.0,2018-02-03 03:24:24.147495,2018-02-03 06:17:57.188234,159081.188,-3.0,1.5,1.999,4.2,2.547,2.544,9.932,8.436
14.0,2018-02-03 06:19:57.240321,2018-02-03 09:13:29.131264,169613.131,-3.0,1.5,1.998,4.2,2.546,2.544,9.929,8.456
15.0,2018-02-03 09:15:29.184303,2018-02-03 12:09:02.708187,180146.708,-3.0,1.5,1.999,4.2,2.546,2.544,9.924,8.479
16.0,2018-02-03 12:11:02.764350,2018-02-03 15:04:39.787082,190683.787,-3.0,1.5,1.999,4.2,2.547,2.545,9.928,8.511
17.0,2018-02-03 15:06:39.836763,2018-02-03 18:00:21.629074,201225.629,-3.0,1.5,1.998,4.2,2.548,2.546,9.93,8.542
18.0,2018-02-03 18:02:21.679925,2018-02-03 20:56:17.734120,211781.734,-3.0,1.5,1.999,4.2,2.552,2.55,9.94,8.583
19.0,2018-02-03 20:58:17.793909,2018-02-03 23:52:52.090430,222376.09,-3.0,1.499,1.998,4.2,2.562,2.561,9.971,8.652
20.0,2018-02-03 23:54:52.142509,2018-02-04 02:50:13.551540,233017.551,-3.0,1.5,1.998,4.2,2.574,2.572,10.004,8.72
21.0,2018-02-04 02:52:13.610081,2018-02-04 05:47:54.923232,243678.923,-3.0,1.499,1.999,4.2,2.578,2.576,10.013,8.753
22.0,2018-02-04 05:49:54.973813,2018-02-04 08:45:36.609804,254340.609,-3.0,1.499,1.999,4.2,2.578,2.576,10.009,8.763
23.0,2018-02-04 08:47:36.668346,2018-02-04 11:43:12.038427,264996.038,-3.0,1.499,1.999,4.2,2.576,2.574,10.0,8.764
24.0,2018-02-04 11:45:12.079026,2018-02-04 14:40:37.443453,275641.443,-3.0,1.5,1.998,4.2,2.573,2.571,9.988,8.76
25.0,2018-02-04 14:42:37.496982,2018-02-04 17:37:52.164276,286276.164,-3.0,1.499,1.999,4.2,2.569,2.568,9.976,8.756
26.0,2018-02-04 17:39:52.213490,2018-02-04 20:34:53.346380,296897.346,-3.0,1.5,1.998,4.2,2.565,2.564,9.961,8.747
27.0,2018-02-04 20:36:53.400456,2018-02-04 23:31:42.373591,307506.373,-3.0,1.5,1.998,4.2,2.562,2.56,9.948,8.739
28.0,2018-02-04 23:33:42.444060,2018-02-05 02:28:17.379879,318101.379,-3.0,1.5,1.998,4.2,2.558,2.556,9.933,8.73
