Date_Time,Test_Time (s),Cycle_Index,Current (A),Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh),Environment_Temperature (C),Cell_Temperature (C)
2018-02-01 10:11:29.016722,10.016,1.0,0.0,3.231,0.0,0.0,0.0,0.0,15.163,15.597
2018-02-01 10:11:39.030296,20.03,1.0,0.0,3.231,0.0,0.0,0.0,0.0,15.01,15.597
2018-02-01 10:11:49.045271,30.045,1.0,0.0,3.231,0.0,0.0,0.0,0.0,15.087,15.597
2018-02-01 10:11:59.060270,40.06,1.0,0.0,3.231,0.0,0.0,0.0,0.0,15.163,15.673
2018-02-01 10:12:09.075148,50.075,1.0,0.0,3.231,0.0,0.0,0.0,0.0,15.087,15.673
2018-02-01 10:12:19.090305,60.09,1.0,0.0,3.231,0.0,0.0,0.0,0.0,15.148,15.658
2018-02-01 10:12:19.121646,60.121,1.0,1.499,3.342,0.0,0.0,0.0,0.0,15.225,15.658
2018-02-01 10:12:19.215282,60.215,1.0,1.499,3.355,0.0,0.0,0.0,0.0,15.225,15.658
2018-02-01 10:12:19.776904,60.776,1.0,1.499,3.365,0.0,0.0,0.0,0.0,15.163,15.673
2018-02-01 10:12:21.742414,62.742,1.0,1.499,3.375,0.001,0.0,0.003,0.0,15.148,15.658
2018-02-01 10:12:24.581639,65.581,1.0,1.499,3.386,0.002,0.0,0.007,0.0,15.148,15.658
2018-02-01 10:12:28.231952,69.231,1.0,1.499,3.396,0.003,0.0,0.012,0.0,15.087,15.597
2018-02-01 10:12:32.319086,73.319,1.0,1.499,3.406,0.005,0.0,0.018,0.0,15.148,15.582
2018-02-01 10:12:36.811786,77.811,1.0,1.499,3.416,0.007,0.0,0.025,0.0,15.01,15.52
2018-02-01 10:12:42.146893,83.146,1.0,1.499,3.426,0.009,0.0,0.032,0.0,15.148,15.658
2018-02-01 10:12:47.388394,88.388,1.0,1.499,3.436,0.011,0.0,0.04,0.0,15.148,15.658
2018-02-01 10:12:53.441093,94.441,1.0,1.499,3.446,0.014,0.0,0.048,0.0,15.148,15.658
2018-02-01 10:12:59.930553,100.93,1.0,1.499,3.456,0.017,0.0,0.058,0.0,15.225,15.658
2018-02-01 10:13:06.950415,107.95,1.0,1.499,3.466,0.019,0.0,0.068,0.0,15.21,15.643
2018-02-01 10:13:14.531882,115.531,1.0,1.499,3.476,0.023,0.0,0.079,0.0,15.225,15.658
2018-02-01 10:13:23.018094,124.018,1.0,1.499,3.486,0.026,0.0,0.091,0.0,15.148,15.658
2018-02-01 10:13:32.128565,133.128,1.0,1.499,3.496,0.03,0.0,0.104,0.0,15.01,15.597
2018-02-01 10:13:42.143364,143.143,1.0,1.499,3.506,0.034,0.0,0.119,0.0,15.148,15.658
2018-02-01 10:13:52.158375,153.158,1.0,1.499,3.515,0.038,0.0,0.134,0.0,14.933,15.673
2018-02-01 10:14:02.173383,163.173,1.0,1.499,3.523,0.042,0.0,0.148,0.0,14.995,15.658
2018-02-01 10:14:12.188371,173.188,1.0,1.499,3.531,0.047,0.0,0.163,0.0,15.148,15.658
2018-02-01 10:14:22.203403,183.203,1.0,1.499,3.537,0.051,0.0,0.178,0.0,15.179,15.766
2018-02-01 10:14:32.218379,193.218,1.0,1.499,3.543,0.055,0.0,0.192,0.0,15.287,15.797
2018-02-01 10:14:42.233273,203.233,1.0,1.499,3.548,0.059,0.0,0.207,0.0,15.225,15.735
2018-02-01 10:14:52.248446,213.248,1.0,1.499,3.553,0.063,0.0,0.222,0.0,15.21,15.797
2018-02-01 10:15:02.263449,223.263,1.0,1.499,3.557,0.067,0.0,0.237,0.0,15.148,15.735
2018-02-01 10:15:12.278553,233.278,1.0,1.499,3.56,0.072,0.0,0.252,0.0,14.995,15.735
2018-02-01 10:15:22.293472,243.293,1.0,1.499,3.563,0.076,0.0,0.267,0.0,14.995,15.735
2018-02-01 10:15:32.308336,253.308,1.0,1.499,3.565,0.08,0.0,0.281,0.0,15.057,15.873
2018-02-01 10:15:42.323486,263.323,1.0,1.499,3.567,0.084,0.0,0.296,0.0,15.087,15.827
2018-02-01 10:15:52.338351,273.338,1.0,1.499,3.569,0.088,0.0,0.311,0.0,15.148,15.965
2018-02-01 10:16:02.353398,283.353,1.0,1.499,3.571,0.092,0.0,0.326,0.0,15.148,15.888
2018-02-01 10:16:12.368377,293.368,1.0,1.499,3.572,0.097,0.0,0.341,0.0,15.163,15.827
2018-02-01 10:16:22.383403,303.383,1.0,1.499,3.574,0.101,0.0,0.356,0.0,15.025,15.842
2018-02-01 10:16:32.398555,313.398,1.0,1.499,3.575,0.105,0.0,0.371,0.0,15.01,15.903
2018-02-01 10:16:42.413566,323.413,1.0,1.499,3.577,0.109,0.0,0.386,0.0,15.025,15.918
2018-02-01 10:16:52.428615,333.428,1.0,1.499,3.578,0.113,0.0,0.401,0.0,15.087,15.98
2018-02-01 10:17:02.443678,343.443,1.0,1.499,3.58,0.118,0.0,0.416,0.0,14.872,16.072
2018-02-01 10:17:12.458453,353.458,1.0,1.499,3.581,0.122,0.0,0.43,0.0,15.087,16.133
2018-02-01 10:17:22.473566,363.473,1.0,1.499,3.583,0.126,0.0,0.445,0.0,15.102,16.072
2018-02-01 10:17:32.488496,373.488,1.0,1.499,3.584,0.13,0.0,0.46,0.0,15.102,16.072
2018-02-01 10:17:42.503516,383.503,1.0,1.499,3.585,0.134,0.0,0.475,0.0,15.179,16.148
2018-02-01 10:17:52.518557,393.518,1.0,1.499,3.587,0.138,0.0,0.49,0.0,15.102,16.225
2018-02-01 10:18:02.533537,403.533,1.0,1.499,3.588,0.143,0.0,0.505,0.0,15.087,16.21
2018-02-01 10:18:12.548788,413.548,1.0,1.499,3.59,0.147,0.0,0.52,0.0,14.979,16.179
2018-02-01 10:18:22.563735,423.563,1.0,1.499,3.592,0.151,0.0,0.535,0.0,15.163,16.363
2018-02-01 10:18:32.578747,433.578,1.0,1.499,3.593,0.155,0.0,0.55,0.0,15.025,16.302
2018-02-01 10:18:42.593718,443.593,1.0,1.499,3.594,0.159,0.0,0.565,0.0,15.163,16.287
2018-02-01 10:18:52.608587,453.608,1.0,1.499,3.596,0.163,0.0,0.58,0.0,15.025,16.302
2018-02-01 10:19:02.623728,463.623,1.0,1.499,3.597,0.168,0.0,0.595,0.0,15.24,16.363
2018-02-01 10:19:12.638765,473.638,1.0,1.499,3.598,0.172,0.0,0.61,0.0,15.102,16.225
2018-02-01 10:19:22.653761,483.653,1.0,1.499,3.6,0.176,0.0,0.625,0.0,15.163,16.287
2018-02-01 10:19:32.668791,493.668,1.0,1.499,3.601,0.18,0.0,0.64,0.0,15.102,16.225
2018-02-01 10:19:42.683673,503.683,1.0,1.499,3.602,0.184,0.0,0.655,0.0,15.087,16.363
2018-02-01 10:19:52.698804,513.698,1.0,1.499,3.604,0.188,0.0,0.67,0.0,15.163,16.363
2018-02-01 10:20:02.714033,523.714,1.0,1.499,3.605,0.193,0.0,0.685,0.0,15.163,16.44
2018-02-01 10:20:12.728832,533.728,1.0,1.499,3.606,0.197,0.0,0.7,0.0,15.317,16.44
2018-02-01 10:20:22.743636,543.743,1.0,1.499,3.608,0.201,0.0,0.715,0.0,15.025,16.455
2018-02-01 10:20:32.770853,553.77,1.0,1.499,3.609,0.205,0.0,0.73,0.0,15.163,16.517
2018-02-01 10:20:42.785837,563.785,1.0,1.499,3.61,0.209,0.0,0.746,0.0,15.056,16.409
2018-02-01 10:20:52.800847,573.8,1.0,1.499,3.612,0.213,0.0,0.761,0.0,15.01,16.517
2018-02-01 10:21:02.815855,583.815,1.0,1.499,3.613,0.218,0.0,0.776,0.0,15.148,16.655
2018-02-01 10:21:12.830727,593.83,1.0,1.499,3.614,0.222,0.0,0.791,0.0,15.087,16.44
2018-02-01 10:21:22.845881,603.845,1.0,1.499,3.615,0.226,0.0,0.806,0.0,15.087,16.517
2018-02-01 10:21:32.860900,613.86,1.0,1.499,3.617,0.23,0.0,0.821,0.0,15.148,16.578
2018-02-01 10:21:42.875768,623.875,1.0,1.499,3.618,0.234,0.0,0.836,0.0,15.148,16.655
2018-02-01 10:21:52.890938,633.89,1.0,1.499,3.619,0.238,0.0,0.851,0.0,15.163,16.517
