Date_Time,Test_Time (s),Cycle_Index,Current (A),Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh),Environment_Temperature (C),Cell_Temperature (C)
2018-02-01 10:11:40.013791,10.013,1.0,0.0,3.22,0.0,0.0,0.0,0.0,15.163,15.295
2018-02-01 10:11:50.028820,20.028,1.0,0.0,3.22,0.0,0.0,0.0,0.0,15.087,15.295
2018-02-01 10:12:00.043853,30.043,1.0,0.0,3.22,0.0,0.0,0.0,0.0,15.087,15.295
2018-02-01 10:12:10.058863,40.058,1.0,0.0,3.22,0.0,0.0,0.0,0.0,15.087,15.295
2018-02-01 10:12:20.073929,50.073,1.0,0.0,3.22,0.0,0.0,0.0,0.0,15.225,15.357
2018-02-01 10:12:30.088952,60.088,1.0,0.0,3.22,0.0,0.0,0.0,0.0,15.148,15.357
2018-02-01 10:12:30.120249,60.12,1.0,1.499,3.338,0.0,0.0,0.0,0.0,15.148,15.357
2018-02-01 10:12:30.245190,60.245,1.0,1.499,3.348,0.0,0.0,0.0,0.0,15.148,15.357
2018-02-01 10:12:30.900314,60.9,1.0,1.499,3.358,0.0,0.0,0.001,0.0,15.01,15.295
2018-02-01 10:12:33.021878,63.021,1.0,1.499,3.368,0.001,0.0,0.004,0.0,15.179,15.388
2018-02-01 10:12:35.954652,65.954,1.0,1.499,3.378,0.002,0.0,0.008,0.0,15.01,15.295
2018-02-01 10:12:39.604978,69.604,1.0,1.499,3.389,0.003,0.0,0.013,0.0,15.087,15.218
2018-02-01 10:12:43.879285,73.879,1.0,1.499,3.399,0.005,0.0,0.019,0.0,15.087,15.449
2018-02-01 10:12:48.496821,78.496,1.0,1.499,3.409,0.007,0.0,0.025,0.0,15.163,15.295
2018-02-01 10:12:53.613408,83.613,1.0,1.499,3.419,0.009,0.0,0.033,0.0,15.148,15.357
2018-02-01 10:12:59.042201,89.042,1.0,1.499,3.429,0.012,0.0,0.04,0.0,15.087,15.295
2018-02-01 10:13:05.126157,95.126,1.0,1.499,3.439,0.014,0.0,0.049,0.0,15.087,15.295
2018-02-01 10:13:11.490760,101.49,1.0,1.499,3.449,0.017,0.0,0.058,0.0,15.118,15.326
2018-02-01 10:13:18.541916,108.541,1.0,1.499,3.459,0.02,0.0,0.068,0.0,15.225,15.357
2018-02-01 10:13:25.998507,115.998,1.0,1.499,3.469,0.023,0.0,0.079,0.0,15.194,15.326
2018-02-01 10:13:34.360014,124.36,1.0,1.499,3.48,0.026,0.0,0.091,0.0,15.087,15.295
2018-02-01 10:13:43.501372,133.501,1.0,1.499,3.49,0.03,0.0,0.105,0.0,15.225,15.357
2018-02-01 10:13:53.329245,143.329,1.0,1.499,3.5,0.034,0.0,0.119,0.0,14.979,15.188
2018-02-01 10:14:03.344228,153.344,1.0,1.499,3.509,0.038,0.0,0.134,0.0,15.087,15.218
2018-02-01 10:14:13.359223,163.359,1.0,1.499,3.517,0.043,0.0,0.148,0.0,15.148,15.357
2018-02-01 10:14:23.374223,173.374,1.0,1.499,3.525,0.047,0.0,0.163,0.0,15.21,15.418
2018-02-01 10:14:33.389250,183.389,1.0,1.499,3.532,0.051,0.0,0.178,0.0,15.21,15.418
2018-02-01 10:14:43.404141,193.404,1.0,1.499,3.538,0.055,0.0,0.192,0.0,15.148,15.357
2018-02-01 10:14:53.419269,203.419,1.0,1.499,3.544,0.059,0.0,0.207,0.0,15.148,15.357
2018-02-01 10:15:03.434300,213.434,1.0,1.499,3.549,0.063,0.0,0.222,0.0,15.148,15.434
2018-02-01 10:15:13.449327,223.449,1.0,1.499,3.553,0.068,0.0,0.237,0.0,14.995,15.51
2018-02-01 10:15:23.464319,233.464,1.0,1.499,3.557,0.072,0.0,0.252,0.0,15.072,15.51
2018-02-01 10:15:33.479160,243.479,1.0,1.499,3.56,0.076,0.0,0.266,0.0,15.148,15.587
2018-02-01 10:15:43.494347,253.494,1.0,1.499,3.563,0.08,0.0,0.281,0.0,15.133,15.572
2018-02-01 10:15:53.509147,263.509,1.0,1.499,3.565,0.084,0.0,0.296,0.0,15.072,15.587
2018-02-01 10:16:03.524367,273.524,1.0,1.499,3.567,0.088,0.0,0.311,0.0,15.087,15.602
2018-02-01 10:16:13.539357,283.539,1.0,1.499,3.569,0.093,0.0,0.326,0.0,15.025,15.54
2018-02-01 10:16:23.554447,293.554,1.0,1.499,3.571,0.097,0.0,0.341,0.0,14.933,15.679
