Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2017-08-07 08:47:13.007462,2017-08-07 13:23:27.862363,16584.862,-1.5,1.5,1.999,4.2,2.882,2.99,11.077,10.744
2.0,2017-08-07 13:23:27.924695,2017-08-07 18:03:12.711509,33369.711,-1.5,1.5,1.999,4.2,2.996,2.983,11.428,10.725
3.0,2017-08-07 18:03:12.803417,2017-08-07 22:42:10.906715,50107.906,-1.5,1.5,1.999,4.2,2.987,2.974,11.396,10.699
4.0,2017-08-07 22:42:10.906843,2017-08-08 07:47:50.701893,82847.701,-1.5,1.5,1.999,4.2,5.947,5.923,22.701,21.324
5.0,2017-08-08 07:49:50.748021,2017-08-08 12:14:33.861952,98850.861,-1.5,1.5,1.999,4.2,2.96,2.948,11.293,10.62
6.0,2017-08-08 12:16:33.895865,2017-08-08 16:40:31.190061,114808.19,-1.5,1.5,1.999,4.2,2.951,2.938,11.259,10.59
7.0,2017-08-08 16:42:31.226139,2017-08-08 21:05:51.882593,130728.882,-1.5,1.5,1.999,4.2,2.941,2.93,11.226,10.567
8.0,2017-08-08 21:07:51.925871,2017-08-09 01:30:19.961641,146596.961,-1.5,1.5,1.999,4.2,2.933,2.921,11.197,10.541
9.0,2017-08-09 01:32:20.018995,2017-08-09 05:54:08.581327,162425.581,-1.5,1.5,1.999,4.2,2.924,2.913,11.166,10.516
10.0,2017-08-09 05:56:08.630430,2017-08-09 10:17:24.784638,178221.784,-1.5,1.5,1.999,4.2,2.916,2.906,11.14,10.495
11.0,2017-08-09 10:19:24.824801,2017-08-09 14:40:01.503405,193978.503,-1.5,1.5,1.999,4.2,2.909,2.898,11.114,10.472
12.0,2017-08-09 14:42:01.545102,2017-08-09 19:02:11.406124,209708.406,-1.5,1.5,1.999,4.2,2.901,2.892,11.088,10.452
13.0,2017-08-09 19:04:11.442606,2017-08-09 23:23:36.696129,225393.696,-1.5,1.5,1.999,4.2,2.894,2.885,11.063,10.431
