Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2018-09-27 09:43:25.018653,2018-09-27 14:12:54.974679,16179.974,-1.505,1.494,1.999,4.2,2.816,2.931,10.85,10.505
2.0,2018-09-27 14:12:55.037344,2018-09-27 18:45:54.448191,32559.448,-1.505,1.494,1.999,4.2,2.929,2.924,11.207,10.488
3.0,2018-09-27 18:45:54.541454,2018-09-27 23:18:19.662042,48904.662,-1.505,1.494,1.999,4.2,2.921,2.916,11.179,10.468
4.0,2018-09-27 23:18:19.662163,2018-09-28 06:14:05.607772,73850.607,-3.004,1.494,1.999,4.2,5.801,5.772,22.219,20.31
5.0,2018-09-28 06:16:05.660087,2018-09-28 09:35:54.504059,85959.504,-3.004,1.494,1.998,4.2,2.88,2.874,11.025,10.12
6.0,2018-09-28 09:37:54.559232,2018-09-28 12:57:15.726651,98040.726,-3.004,1.494,1.999,4.2,2.872,2.866,10.996,10.098
7.0,2018-09-28 12:59:15.779027,2018-09-28 16:18:07.305784,110092.305,-3.004,1.494,1.999,4.2,2.864,2.859,10.968,10.077
8.0,2018-09-28 16:20:07.362014,2018-09-28 19:38:33.210081,122118.21,-3.004,1.494,1.999,4.2,2.857,2.852,10.942,10.056
9.0,2018-09-28 19:40:33.267508,2018-09-28 22:58:32.502977,134117.502,-3.004,1.494,1.998,4.2,2.849,2.845,10.916,10.035
10.0,2018-09-28 23:00:32.557785,2018-09-29 02:18:09.227222,146094.227,-3.004,1.494,1.999,4.2,2.843,2.838,10.892,10.016
11.0,2018-09-29 02:20:09.281573,2018-09-29 05:37:20.371891,158045.371,-3.004,1.494,1.999,4.2,2.836,2.832,10.868,9.997
12.0,2018-09-29 05:39:20.431494,2018-09-29 08:56:03.732557,169968.732,-3.004,1.494,1.999,4.2,2.829,2.826,10.846,9.979
13.0,2018-09-29 08:58:03.783250,2018-09-29 12:14:31.791819,181876.791,-3.004,1.494,1.999,4.2,2.824,2.82,10.826,9.962
14.0,2018-09-29 12:16:31.840230,2018-09-29 15:32:38.505975,193763.505,-3.004,1.494,1.999,4.2,2.818,2.815,10.805,9.946
15.0,2018-09-29 15:34:38.564216,2018-09-29 18:50:22.640280,205627.64,-3.004,1.494,1.999,4.2,2.812,2.81,10.786,9.93
