Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2018-07-17 10:12:57.019048,2018-07-17 14:38:44.465017,15957.465,-1.5,1.499,1.999,4.2,2.83,2.929,10.942,10.437
2.0,2018-07-17 14:38:44.526735,2018-07-17 19:07:34.373477,32087.373,-1.5,1.5,1.999,4.2,2.926,2.924,11.242,10.428
3.0,2018-07-17 19:07:34.404094,2018-07-17 23:35:54.078809,48187.078,-1.5,1.5,1.999,4.2,2.92,2.916,11.217,10.409
4.0,2018-07-17 23:35:54.078912,2018-07-18 05:24:59.755416,69132.755,-6.001,1.499,1.998,4.2,5.796,5.767,22.286,19.076
5.0,2018-07-18 05:26:59.789538,2018-07-18 08:13:23.324748,79236.324,-6.001,1.499,1.999,4.2,2.875,2.868,11.047,9.501
6.0,2018-07-18 08:15:23.384068,2018-07-18 11:01:24.437301,89317.437,-6.001,1.5,1.999,4.2,2.865,2.86,11.012,9.486
7.0,2018-07-18 11:03:24.489141,2018-07-18 13:49:07.087945,99380.087,-6.001,1.499,1.999,4.2,2.857,2.852,10.982,9.473
8.0,2018-07-18 13:51:07.145265,2018-07-18 16:36:35.148731,109428.148,-6.001,1.499,1.998,4.2,2.849,2.845,10.955,9.459
9.0,2018-07-18 16:38:35.167845,2018-07-18 19:23:47.538043,119460.538,-6.001,1.499,1.997,4.2,2.842,2.838,10.928,9.447
10.0,2018-07-18 19:25:47.574332,2018-07-18 22:10:42.273052,129475.273,-6.001,1.499,1.998,4.2,2.835,2.832,10.902,9.432
11.0,2018-07-18 22:12:42.291105,2018-07-19 00:57:19.302665,139472.302,-6.001,1.499,1.999,4.2,2.828,2.825,10.877,9.416
12.0,2018-07-19 00:59:19.340932,2018-07-19 03:43:39.120391,149452.12,-6.001,1.499,1.999,4.2,2.821,2.818,10.853,9.4
