Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2017-08-07 08:43:26.006484,2017-08-07 13:16:54.936056,16418.936,-1.5,1.499,1.999,4.2,2.868,2.973,11.043,10.651
2.0,2017-08-07 13:16:55.147000,2017-08-07 17:54:15.163090,33059.163,-1.5,1.499,1.999,4.2,2.976,2.966,11.369,10.647
3.0,2017-08-07 17:54:15.339441,2017-08-07 22:31:15.635953,49679.635,-1.5,1.499,1.999,4.2,2.967,2.958,11.334,10.629
4.0,2017-08-07 22:31:15.636080,2017-08-08 04:17:09.398344,70433.398,-9.001,1.499,1.996,4.2,5.898,5.867,22.528,19.49
5.0,2017-08-08 04:19:09.439686,2017-08-08 07:04:44.520587,80488.52,-9.0,1.499,1.998,4.2,2.928,2.916,11.168,9.74
6.0,2017-08-08 07:06:44.569611,2017-08-08 09:51:58.219752,90522.219,-9.001,1.499,1.996,4.2,2.916,2.906,11.124,9.732
7.0,2017-08-08 09:53:58.265799,2017-08-08 12:38:40.197754,100524.197,-9.0,1.499,1.999,4.2,2.905,2.895,11.084,9.71
8.0,2017-08-08 12:40:40.237596,2017-08-08 15:24:52.311545,110496.311,-9.0,1.499,1.996,4.2,2.894,2.886,11.046,9.691
9.0,2017-08-08 15:26:52.345278,2017-08-08 18:10:33.608503,120437.608,-9.0,1.499,1.997,4.2,2.885,2.877,11.012,9.669
10.0,2017-08-08 18:12:33.670056,2017-08-08 20:55:34.805856,130338.805,-9.0,1.499,1.998,4.2,2.875,2.868,10.979,9.647
11.0,2017-08-08 20:57:34.861646,2017-08-08 23:40:08.845880,140212.845,-9.0,1.499,1.997,4.2,2.867,2.86,10.948,9.627
12.0,2017-08-08 23:42:08.881448,2017-08-09 02:24:23.841392,150067.841,-9.0,1.499,1.999,4.2,2.858,2.852,10.919,9.608
13.0,2017-08-09 02:26:23.882201,2017-08-09 05:08:12.258300,159896.258,-9.0,1.499,1.997,4.2,2.851,2.845,10.891,9.588
14.0,2017-08-09 05:10:12.292657,2017-08-09 07:51:25.516943,169689.516,-9.0,1.499,1.996,4.2,2.843,2.838,10.864,9.569
15.0,2017-08-09 07:53:25.566742,2017-08-09 10:34:26.726368,179470.726,-9.0,1.499,1.997,4.2,2.836,2.831,10.841,9.552
16.0,2017-08-09 10:36:26.784422,2017-08-09 13:17:05.426384,189229.426,-9.0,1.499,1.996,4.2,2.83,2.825,10.818,9.537
17.0,2017-08-09 13:19:05.468982,2017-08-09 15:59:26.507029,198970.507,-9.0,1.499,1.996,4.2,2.824,2.819,10.796,9.52
18.0,2017-08-09 16:01:26.553883,2017-08-09 18:41:13.703005,208677.703,-9.0,1.499,1.995,4.2,2.817,2.813,10.774,9.503
19.0,2017-08-09 18:43:13.760451,2017-08-09 21:22:56.395779,218380.395,-9.0,1.499,1.995,4.2,2.812,2.808,10.754,9.488
20.0,2017-08-09 21:24:56.453611,2017-08-10 00:04:22.768199,228066.768,-9.0,1.499,1.995,4.2,2.806,2.802,10.734,9.474
21.0,2017-08-10 00:06:22.811747,2017-08-10 02:45:37.820626,237741.82,-9.0,1.499,1.999,4.2,2.801,2.797,10.715,9.459
22.0,2017-08-10 02:47:37.853012,2017-08-10 05:26:36.319898,247400.319,-9.0,1.499,1.999,4.2,2.795,2.792,10.696,9.444
23.0,2017-08-10 05:28:36.341457,2017-08-10 08:07:27.976271,257051.976,-9.0,1.499,1.996,4.2,2.79,2.787,10.679,9.432
24.0,2017-08-10 08:09:28.018617,2017-08-10 10:48:00.733074,266684.733,-9.0,1.499,1.998,4.2,2.786,2.783,10.664,9.419
25.0,2017-08-10 10:50:00.770759,2017-08-10 13:28:24.951545,276308.951,-9.0,1.499,1.998,4.2,2.781,2.779,10.647,9.407
26.0,2017-08-10 13:30:24.991743,2017-08-10 16:08:35.319563,285919.319,-9.0,1.499,1.999,4.2,2.777,2.774,10.632,9.395
27.0,2017-08-10 16:10:35.355737,2017-08-10 18:48:35.612568,295519.612,-9.0,1.499,1.999,4.2,2.773,2.77,10.617,9.383
28.0,2017-08-10 18:50:35.664311,2017-08-10 21:28:14.396472,305098.396,-9.0,1.499,1.997,4.2,2.768,2.766,10.602,9.372
29.0,2017-08-10 21:30:14.426704,2017-08-11 00:07:29.133466,314653.133,-9.0,1.499,1.994,4.2,2.765,2.762,10.588,9.361
30.0,2017-08-11 00:09:29.171517,2017-08-11 02:46:55.826588,324219.826,-9.0,1.499,1.997,4.2,2.761,2.759,10.576,9.351
31.0,2017-08-11 02:48:55.864978,2017-08-11 05:25:55.864750,333759.864,-9.0,1.499,1.997,4.2,2.757,2.755,10.561,9.339
32.0,2017-08-11 05:27:55.910536,2017-08-11 08:05:02.291358,343306.291,-9.0,1.499,1.997,4.2,2.754,2.752,10.55,9.33
33.0,2017-08-11 08:07:02.346778,2017-08-11 10:44:00.175267,352844.175,-9.0,1.499,1.996,4.2,2.75,2.749,10.538,9.321
34.0,2017-08-11 10:46:00.228998,2017-08-11 13:22:52.736946,362376.736,-9.0,1.499,1.996,4.2,2.747,2.745,10.527,9.311
35.0,2017-08-11 13:24:52.786018,2017-08-11 16:01:32.211802,371896.211,-9.0,1.499,1.994,4.2,2.744,2.742,10.515,9.302
36.0,2017-08-11 16:03:32.270579,2017-08-11 18:39:54.836517,381398.836,-9.0,1.499,1.993,4.2,2.74,2.739,10.503,9.292
37.0,2017-08-11 18:41:54.894638,2017-08-11 21:18:17.721627,390901.721,-9.0,1.499,1.994,4.2,2.737,2.736,10.492,9.283
38.0,2017-08-11 21:20:17.788388,2017-08-11 23:56:44.671200,400408.671,-9.0,1.499,1.993,4.2,2.734,2.733,10.482,9.275
39.0,2017-08-11 23:58:44.699910,2017-08-12 02:35:03.195395,409907.195,-9.0,1.499,1.996,4.2,2.732,2.73,10.472,9.267
40.0,2017-08-12 02:37:03.211271,2017-08-12 05:13:15.235584,419399.235,-9.0,1.499,1.993,4.2,2.729,2.728,10.461,9.259
41.0,2017-08-12 05:15:15.292013,2017-08-12 07:51:10.689232,428874.689,-9.0,1.499,1.992,4.2,2.726,2.725,10.452,9.252
42.0,2017-08-12 07:53:10.716045,2017-08-12 10:29:06.908927,438350.908,-9.0,1.499,1.993,4.2,2.724,2.722,10.444,9.243
