Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2017-08-07 08:47:48.006098,2017-08-07 13:20:52.522399,16394.522,-1.5,1.499,1.999,4.2,2.86,2.967,11.017,10.639
2.0,2017-08-07 13:20:52.647268,2017-08-07 17:57:34.244627,32996.244,-1.5,1.499,1.999,4.2,2.97,2.961,11.352,10.627
3.0,2017-08-07 17:57:34.284939,2017-08-07 22:33:37.254332,49559.254,-1.5,1.499,1.999,4.2,2.961,2.953,11.32,10.605
4.0,2017-08-07 22:33:37.254440,2017-08-08 02:27:20.744262,63582.744,-1.499,1.499,2.641,4.2,2.692,2.4,10.191,8.746
5.0,2017-08-08 02:29:20.767162,2017-08-08 05:01:22.642845,72824.642,-1.499,1.499,3.107,4.018,1.8,1.8,6.735,6.392
6.0,2017-08-08 05:03:22.673930,2017-08-08 07:35:24.583584,82066.583,-1.499,1.499,3.102,4.019,1.8,1.8,6.73,6.392
7.0,2017-08-08 07:37:24.621498,2017-08-08 10:09:26.453783,91308.453,-1.499,1.499,3.1,4.019,1.8,1.8,6.73,6.391
8.0,2017-08-08 10:11:26.496032,2017-08-08 12:43:28.065039,100550.065,-1.499,1.499,3.097,4.019,1.8,1.8,6.73,6.391
9.0,2017-08-08 12:45:28.112701,2017-08-08 15:17:29.651673,109791.651,-1.5,1.499,3.096,4.02,1.8,1.8,6.73,6.392
10.0,2017-08-08 15:19:29.698922,2017-08-08 17:51:31.348477,119033.348,-1.499,1.499,3.094,4.02,1.8,1.8,6.73,6.392
11.0,2017-08-08 17:53:31.387533,2017-08-08 20:25:32.930645,128274.93,-1.499,1.499,3.093,4.02,1.8,1.8,6.729,6.392
12.0,2017-08-08 20:27:32.963754,2017-08-08 22:59:34.461224,137516.461,-1.5,1.499,3.092,4.02,1.8,1.8,6.73,6.393
13.0,2017-08-08 23:01:34.486046,2017-08-09 01:33:36.143488,146758.143,-1.499,1.499,3.091,4.02,1.8,1.8,6.73,6.393
14.0,2017-08-09 01:35:36.200590,2017-08-09 04:07:38.099501,156000.099,-1.5,1.499,3.09,4.021,1.8,1.8,6.73,6.394
15.0,2017-08-09 04:09:38.157077,2017-08-09 06:41:39.995626,165241.995,-1.499,1.499,3.089,4.021,1.8,1.8,6.73,6.394
16.0,2017-08-09 06:43:40.050868,2017-08-09 09:15:41.873181,174483.873,-1.499,1.499,3.088,4.021,1.8,1.8,6.73,6.395
17.0,2017-08-09 09:17:41.924602,2017-08-09 11:49:43.465572,183725.465,-1.5,1.499,3.087,4.021,1.8,1.8,6.73,6.395
18.0,2017-08-09 11:51:43.513530,2017-08-09 14:23:45.031699,192967.031,-1.5,1.499,3.086,4.022,1.8,1.8,6.731,6.395
19.0,2017-08-09 14:25:45.064084,2017-08-09 16:57:46.242346,202208.242,-1.5,1.499,3.086,4.022,1.8,1.8,6.731,6.396
20.0,2017-08-09 16:59:46.276078,2017-08-09 19:31:47.393513,211449.393,-1.5,1.499,3.085,4.022,1.8,1.8,6.731,6.396
21.0,2017-08-09 19:33:47.421046,2017-08-09 22:05:48.765709,220690.765,-1.5,1.499,3.085,4.023,1.8,1.8,6.732,6.397
22.0,2017-08-09 22:07:48.811283,2017-08-10 00:39:50.094144,229932.094,-1.5,1.499,3.084,4.023,1.8,1.8,6.732,6.397
23.0,2017-08-10 00:41:50.122978,2017-08-10 03:13:51.521457,239173.521,-1.5,1.499,3.084,4.023,1.8,1.8,6.732,6.397
24.0,2017-08-10 03:15:51.587417,2017-08-10 05:47:53.212266,248415.212,-1.499,1.499,3.084,4.024,1.8,1.8,6.732,6.398
25.0,2017-08-10 05:49:53.250738,2017-08-10 08:21:54.835939,257656.835,-1.499,1.499,3.083,4.024,1.8,1.8,6.733,6.398
26.0,2017-08-10 08:23:54.862042,2017-08-10 10:55:56.215414,266898.215,-1.5,1.499,3.083,4.024,1.8,1.8,6.733,6.399
27.0,2017-08-10 10:57:56.262969,2017-08-10 13:29:57.548442,276139.548,-1.499,1.499,3.082,4.024,1.8,1.8,6.733,6.4
