Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,9263.67,-1.6,1.601,2.9,4.266,0.008,3.326,0.017,11.731
2.0,26717.693,-1.6,1.601,2.9,4.0,2.764,2.742,10.431,9.482
3.0,44045.527,-1.6,1.601,2.9,4.0,2.744,2.742,10.345,9.478
4.0,61349.242,-1.6,1.601,2.9,4.0,2.743,2.739,10.344,9.47
5.0,78589.084,-1.6,1.601,2.9,4.0,2.743,2.741,10.34,9.478
6.0,95887.718,-1.6,1.601,2.9,4.0,2.744,2.739,10.343,9.469
7.0,113152.37,-1.6,1.601,2.9,4.0,2.742,2.74,10.339,9.471
8.0,130427.912,-1.6,1.601,2.9,4.0,2.743,2.739,10.339,9.467
9.0,147648.278,-1.6,1.601,2.9,4.0,2.742,2.739,10.336,9.468
10.0,164913.09,-1.6,1.601,2.9,4.0,2.742,2.738,10.336,9.464
11.0,182190.358,-1.6,1.601,2.9,4.0,2.741,2.738,10.333,9.461
12.0,199447.716,-1.6,1.601,2.9,4.0,2.741,2.738,10.334,9.465
13.0,216718.323,-1.6,1.601,2.9,4.0,2.74,2.736,10.331,9.456
14.0,233955.693,-1.6,1.601,2.9,4.0,2.739,2.736,10.326,9.456
15.0,251234.127,-1.6,1.601,2.9,4.0,2.74,2.735,10.326,9.45
16.0,268505.448,-1.6,1.601,2.9,4.0,2.738,2.735,10.322,9.449
17.0,285782.969,-1.6,1.601,2.9,4.0,2.738,2.735,10.323,9.448
18.0,303084.504,-1.6,1.601,2.9,4.0,2.738,2.734,10.322,9.445
19.0,320356.1,-1.6,1.601,2.9,4.0,2.737,2.734,10.32,9.444
20.0,337671.404,-1.6,1.601,2.9,4.0,2.737,2.732,10.318,9.436
21.0,355010.684,-1.6,1.601,2.9,4.0,2.735,2.732,10.315,9.432
22.0,372346.314,-1.6,1.601,2.9,4.0,2.735,2.731,10.314,9.43
23.0,389668.93,-1.6,1.601,2.9,4.0,2.735,2.731,10.313,9.43
24.0,407029.827,-1.6,1.601,2.9,4.0,2.734,2.73,10.311,9.425
25.0,424401.17,-1.6,1.601,2.9,4.0,2.733,2.73,10.308,9.424
26.0,441749.305,-1.6,1.601,2.9,4.0,2.733,2.73,10.309,9.424
27.0,459124.862,-1.6,1.601,2.9,4.0,2.733,2.729,10.307,9.421
28.0,476509.365,-1.6,1.601,2.9,4.0,2.732,2.728,10.305,9.415
29.0,493968.469,-1.6,1.601,2.9,4.0,2.731,2.726,10.301,9.405
30.0,511438.517,-1.6,1.601,2.9,4.0,2.73,2.726,10.299,9.402
31.0,528885.127,-1.6,1.601,2.9,4.0,2.729,2.726,10.298,9.404
32.0,546313.926,-1.6,1.601,2.9,4.0,2.73,2.726,10.299,9.404
33.0,563657.945,-1.6,1.601,2.9,4.0,2.73,2.727,10.298,9.413
