cell_id,study,cathode,anode,temperature,min_soc,max_soc,charge_crate,discharge_crate,capacity_ah,form_factor
UL-PUR_N10-EX9_18650_NCA_23C_0-100_0.5/0.5C_i,UL-PUR,NCA,graphite,23,0,100,0.5,0.5,3.4,18650
UL-PUR_N10-NA7_18650_NCA_23C_0-100_0.5/0.5C_g,UL-PUR,NCA,graphite,23,0,100,0.5,0.5,3.4,18650
UL-PUR_N10-OV8_18650_NCA_23C_0-100_0.5/0.5C_h,UL-PUR,NCA,graphite,23,0,100,0.5,0.5,3.4,18650
UL-PUR_N15-EX4_18650_NCA_23C_0-100_0.5/0.5C_d,UL-PUR,NCA,graphite,23,0,100,0.5,0.5,3.4,18650
UL-PUR_N15-NA10_18650_NCA_23C_0-100_0.5/0.5C_j,UL-PUR,NCA,graphite,23,0,100,0.5,0.5,3.4,18650
UL-PUR_N15-OV3_18650_NCA_23C_0-100_0.5/0.5C_c,UL-PUR,NCA,graphite,23,0,100,0.5,0.5,3.4,18650
UL-PUR_N20-EX2_18650_NCA_23C_0-100_0.5/0.5C_b,UL-PUR,NCA,graphite,23,0,100,0.5,0.5,3.4,18650
UL-PUR_N20-NA5_18650_NCA_23C_0-100_0.5/0.5C_e,UL-PUR,NCA,graphite,23,0,100,0.5,0.5,3.4,18650
UL-PUR_N20-NA6_18650_NCA_23C_0-100_0.5/0.5C_f,UL-PUR,NCA,graphite,23,0,100,0.5,0.5,3.4,18650
UL-PUR_N20-OV1_18650_NCA_23C_0-100_0.5/0.5C_a,UL-PUR,NCA,graphite,23,0,100,0.5,0.5,3.4,18650
UL-PUR_R10-EX6_18650_NCA_23C_2.5-96.5_0.5/0.5C_f,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
UL-PUR_R10-NA11_18650_NCA_23C_2.5-96.5_0.5/0.5C_k,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
UL-PUR_R10-OV5_18650_NCA_23C_2.5-96.5_0.5/0.5C_e,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
UL-PUR_R15-EX4_18650_NCA_23C_2.5-96.5_0.5/0.5C_d,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
UL-PUR_R15-NA10_18650_NCA_23C_2.5-96.5_0.5/0.5C_j,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
UL-PUR_R15-OV3_18650_NCA_23C_2.5-96.5_0.5/0.5C_c,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
UL-PUR_R20-EX2_18650_NCA_23C_2.5-96.5_0.5/0.5C_b,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
UL-PUR_R20-NA7_18650_NCA_23C_2.5-96.5_0.5/0.5C_g,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
UL-PUR_R20-NA8_18650_NCA_23C_2.5-96.5_0.5/0.5C_h,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
UL-PUR_R20-NA9_18650_NCA_23C_2.5-96.5_0.5/0.5C_i,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
UL-PUR_R20-OV1_18650_NCA_23C_2.5-96.5_0.5/0.5C_a,UL-PUR,NCA,graphite,23,2.5,96.5,0.5,0.5,3.4,18650
